ECRITCOMPTAARTICLE,Écriture comptable article,32,

N° séquence,N° article,N° origine,Quantité
941,PI001,C0434,-480
942,70303,C0699,-40
943,70303,C0700,-240
944,70309,C0700,-71.2
945,70309,C0682,-60
946,70306,C0666,-60
947,BA030,C0666,-100
948,70287,C0666,-19
949,70291,C0666,-15
950,BA030,C0457,-100
951,70291,C0457,-30
952,MU007,C0700,-40
953,MU007,C0697,-100
954,MU007,C0686,-20
955,70310,C0480,-322.49
956,70309,C0480,-196.1
957,70303,C0480,-40
958,70310,C0696,-240.19
959,70309,C0696,-96.24
960,70316,C0696,-26.05
961,70303,C0696,-60
962,CA008,C0457,-10
963,BA030,C0457,-40
964,70306,C0457,-20
965,CA008,C0665,-50
966,BA030,C0445,-100
967,70291,C0445,-30
968,70309,C0532,-63.05
969,70291,C0532,-15
970,BA030,C0532,-100
971,PI001,C0532,-140
972,70311,C0401,-30
973,70290,C0401,-16.13
974,70310,C0422,-1208.48
975,70309,C0422,-98.65
976,70303,C0550,-4000
977,PI022,C0550,-2260
978,70309,C0550,-993.6
979,PI028,C0550,-1000
980,70290,C0550,-1493.54
981,BA030,C0550,-200
982,RO067,C0550,-1360
983,RO097,C0550,-2000
984,PI001,C0654,-200
985,MU007,C0654,-20
986,70303,C0422,-60
987,70306,C0459,-60
988,70287,C0459,-14
989,BA030,C0459,-100
990,70291,C0459,-15
991,70316,C0459,-14.8
992,70290,C0459,-93.91
993,70306,C0650,-300
994,BA030,C0632,-200
995,70306,C0632,-200
996,70287,C0632,-15
997,MU007,C0569,-20
998,70290,C0569,-40.78
999,70316,C0569,-31.25
1000,PI028,C0701,-1000
1001,BA030,C0639,-100
1002,70291,C0639,-15
1003,70310,C0531,-83.34
1004,MU007,C0531,-20
1005,70287,C0668,-11
1006,70306,C0668,-100
1007,70290,C0668,-303.24
1008,BA030,C0668,-200
1009,70300,C0668,-443.8
1010,70291,C0668,-150
1011,70223,C0400,-70.2
1012,BA030,C0623,-120
1013,70316,C0623,-111.5
1014,70287,C0623,-73
1015,BA030,C0627,-140
1016,70291,C0627,-15
1017,MU007,C0698,-240
1018,PI028,C0698,-30
1019,PI042,C0698,-18.13
1020,70303,C0702,-20
1021,MU007,C0702,-20
